project_id,project_type,spatial_type,coord_path,affected_families,compensation_status,rehab_progress_pct,stakeholder_responsiveness,historical_performance_score,state,state_code,district,tehsil
PB-RLY-0010,rail,linear,"[[31.3202, 75.3753], [30.8374, 75.7978], [30.5185, 76.0154]]",135,pending,85.39,0.812,0.633,Punjab,PB,Jalandhar,Jalandhar_Tehsil_3
PB-RDH-0020,road,point,"[[30.8946, 76.5674], [31.1574, 76.3947]]",74,paid,98.87,0.599,0.68,Punjab,PB,Rupnagar,Rupnagar_Tehsil_1
PB-DAM-0006,dam,point,"[[30.849, 75.8877], [30.7763, 75.8432]]",317,paid,85.29,0.589,0.713,Punjab,PB,Ludhiana,Ludhiana_Tehsil_1
HP-IND-0009,industrial,point,"[[31.2793, 76.0212], [31.3359, 76.215]]",18,pending,81.31,0.46,0.734,Himachal Pradesh,HP,Una,Una_Tehsil_2
HP-RDH-0014,road,linear,"[[31.9879, 77.1381], [31.1708, 76.7537], [30.9735, 76.5337], [30.9286, 76.7243], [30.7068, 76.4256], [30.3855, 76.5445]]",50,paid,91.69,0.333,0.543,Himachal Pradesh,HP,Kullu,Kullu_Tehsil_1
HP-RLY-0009,rail,linear,"[[32.2413, 76.3227], [31.7263, 76.4284], [31.3512, 76.6199], [31.5405, 76.6528]]",210,paid,80.5,0.688,0.754,Himachal Pradesh,HP,Kangra,Kangra_Tehsil_3
PB-IND-0013,industrial,point,"[[30.1698, 75.8244]]",211,paid,83.95,0.732,0.662,Punjab,PB,Sangrur,Sangrur_Tehsil_1
HP-RDH-0015,road,point,"[[31.0681, 77.1559]]",87,paid,82.68,0.731,0.522,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_2
HP-IRR-0014,irrigation,point,"[[31.9312, 76.7088]]",79,paid,88.96,0.622,0.415,Himachal Pradesh,HP,Hamirpur,Hamirpur_Tehsil_2
HP-IRR-0015,irrigation,point,"[[32.4448, 76.1187], [32.518, 76.1579]]",23,paid,82.72,0.658,0.543,Himachal Pradesh,HP,Chamba,Chamba_Tehsil_2
UK-DAM-0007,dam,point,"[[29.8897, 79.7421]]",530,paid,97.48,0.614,0.734,Uttarakhand,UK,Bageshwar,Bageshwar_Tehsil_1
UK-RDH-0011,road,linear,"[[29.2653, 79.5125], [29.9798, 79.9677], [29.16, 80.1533], [29.7636, 79.4343], [29.6072, 80.3683]]",82,partial,89.08,0.764,0.679,Uttarakhand,UK,Nainital,Nainital_Tehsil_4
HP-DAM-0005,dam,point,"[[31.8564, 77.0923]]",80,paid,83.66,0.514,0.357,Himachal Pradesh,HP,Kullu,Kullu_Tehsil_2
HP-RLY-0010,rail,point,"[[30.8608, 77.0144]]",24,partial,87.44,0.785,0.731,Himachal Pradesh,HP,Shimla,Shimla_Tehsil_3
UK-IRR-0010,irrigation,point,"[[29.2653, 79.5125]]",44,paid,80.88,0.726,0.827,Uttarakhand,UK,Nainital,Nainital_Tehsil_4
HP-RDH-0016,road,linear,"[[31.5405, 76.6528], [31.9417, 77.156], [31.2899, 76.8599], [31.0186, 77.2599]]",66,partial,90.73,0.672,0.703,Himachal Pradesh,HP,Mandi,Mandi_Tehsil_1
UK-IRR-0011,irrigation,point,"[[30.0659, 79.7496]]",130,partial,93.34,0.583,0.798,Uttarakhand,UK,Bageshwar,Bageshwar_Tehsil_1
HP-IRR-0016,irrigation,point,"[[31.4669, 76.3077], [31.3685, 76.31]]",54,pending,100.0,0.767,0.665,Himachal Pradesh,HP,Una,Una_Tehsil_1
HP-RDH-0017,road,linear,"[[30.5723, 77.4434], [30.9221, 76.89], [31.1837, 76.6446], [31.6987, 76.5622], [31.3359, 76.215]]",190,paid,90.66,0.604,0.414,Himachal Pradesh,HP,Sirmaur,Sirmaur_Tehsil_1
PB-RDH-0021,road,point,"[[30.7028, 75.1714]]",72,paid,85.29,0.529,0.535,Punjab,PB,Moga,Moga_Tehsil_1
HP-RDH-0018,road,linear,"[[31.7942, 76.9466], [31.7116, 76.5263], [32.2405, 76.3601]]",1197,pending,74.34,0.774,0.649,Himachal Pradesh,HP,Mandi,Mandi_Tehsil_2
PB-RLY-0011,rail,point,"[[31.6522, 74.9443]]",25,partial,100.0,0.488,0.711,Punjab,PB,Amritsar,Amritsar_Tehsil_2
PB-RDH-0022,road,point,"[[31.5995, 75.9729], [31.8359, 75.8614]]",104,paid,79.77,0.781,0.674,Punjab,PB,Hoshiarpur,Hoshiarpur_Tehsil_2
PB-IND-0014,industrial,point,"[[30.0821, 75.2632]]",84,partial,97.12,0.54,0.668,Punjab,PB,Mansa,Mansa_Tehsil_1
PB-RLY-0012,rail,linear,"[[30.9888, 76.1647], [30.8705, 75.9642], [30.4879, 75.7573], [30.5337, 75.6574], [30.9126, 75.2468]]",82,partial,90.31,0.703,0.604,Punjab,PB,SBS Nagar,SBS Nagar_Tehsil_1
UK-IND-0011,industrial,point,"[[30.4808, 78.6585]]",78,paid,93.93,0.551,0.672,Uttarakhand,UK,Tehri Garhwal,Tehri Garhwal_Tehsil_2
PB-IND-0015,industrial,point,"[[31.3689, 74.8165], [31.4968, 74.9323]]",143,partial,85.52,0.449,0.679,Punjab,PB,Tarn Taran,Tarn Taran_Tehsil_1
UK-RDH-0012,road,point,"[[29.0222, 79.2914], [29.1458, 79.3902]]",98,partial,88.46,0.831,0.814,Uttarakhand,UK,Udham Singh Nagar,Udham Singh Nagar_Tehsil_2
PB-DAM-0007,dam,point,"[[31.222, 75.4803], [31.0722, 75.4742]]",782,paid,78.32,0.675,0.67,Punjab,PB,Kapurthala,Kapurthala_Tehsil_2
PB-IND-0016,industrial,point,"[[31.1574, 76.3947], [30.9458, 76.4607]]",10,paid,75.17,0.673,0.54,Punjab,PB,Rupnagar,Rupnagar_Tehsil_3
PB-IRR-0016,irrigation,point,"[[31.4229, 74.7668], [31.3689, 74.8165]]",75,paid,86.22,0.686,0.365,Punjab,PB,Tarn Taran,Tarn Taran_Tehsil_2
PB-RLY-0013,rail,linear,"[[30.1311, 75.3706], [30.5185, 76.0154], [30.6209, 76.4144], [30.1907, 76.3517], [30.9286, 76.7243], [30.9735, 76.5337]]",793,paid,88.27,0.652,0.769,Punjab,PB,Barnala,Barnala_Tehsil_3
PB-RLY-0014,rail,point,"[[30.4245, 75.513]]",265,paid,84.19,0.437,0.713,Punjab,PB,Barnala,Barnala_Tehsil_2
PB-RDH-0023,road,linear,"[[30.8988, 75.2464], [31.1233, 74.4633], [30.4772, 74.3637], [30.2514, 75.0202], [30.8077, 74.4727]]",262,partial,72.34,0.618,0.652,Punjab,PB,Moga,Moga_Tehsil_3
PB-IRR-0017,irrigation,point,"[[30.1698, 75.8244]]",491,paid,80.82,0.67,0.74,Punjab,PB,Sangrur,Sangrur_Tehsil_1
UK-IND-0012,industrial,point,"[[30.0583, 79.3759], [30.554, 79.3647]]",12,pending,82.34,0.565,0.826,Uttarakhand,UK,Chamoli,Chamoli_Tehsil_2
PB-IND-0017,industrial,point,"[[30.0019, 75.5117]]",147,partial,100.0,0.483,0.662,Punjab,PB,Mansa,Mansa_Tehsil_3
UK-RDH-0013,road,point,"[[30.0952, 78.9159]]",234,partial,85.03,0.688,0.831,Uttarakhand,UK,Pauri Garhwal,Pauri Garhwal_Tehsil_2
PB-DAM-0008,dam,point,"[[30.4033, 74.3664]]",124,paid,91.15,0.583,0.564,Punjab,PB,Sri Muktsar Sahib,Sri Muktsar Sahib_Tehsil_1
PB-RLY-0015,rail,point,"[[30.9123, 76.7025]]",1247,paid,85.46,0.706,0.687,Punjab,PB,Rupnagar,Rupnagar_Tehsil_2
UK-IND-0013,industrial,point,"[[30.4898, 78.3748]]",85,partial,89.5,0.682,0.908,Uttarakhand,UK,Uttarkashi,Uttarkashi_Tehsil_2
PB-RDH-0024,road,point,"[[30.4226, 73.8562], [30.3915, 74.0701]]",12,paid,89.03,0.689,0.727,Punjab,PB,Fazilka,Fazilka_Tehsil_3
HP-IND-0010,industrial,point,"[[31.6449, 76.5076], [31.7263, 76.4284]]",101,paid,94.19,0.539,0.662,Himachal Pradesh,HP,Hamirpur,Hamirpur_Tehsil_4
PB-IND-0018,industrial,point,"[[30.8306, 76.276]]",37,paid,88.2,0.684,0.56,Punjab,PB,Rupnagar,Rupnagar_Tehsil_2
UK-RDH-0014,road,point,"[[28.9484, 79.3277]]",256,paid,89.34,0.753,0.784,Uttarakhand,UK,Udham Singh Nagar,Udham Singh Nagar_Tehsil_3
PB-RDH-0025,road,point,"[[30.6142, 75.7558], [30.2563, 75.7004]]",147,partial,83.2,0.634,0.709,Punjab,PB,Malerkotla,Malerkotla_Tehsil_1
PB-IND-0019,industrial,point,"[[31.0336, 75.8206], [30.6298, 75.7508]]",42,paid,87.84,0.538,0.661,Punjab,PB,Ludhiana,Ludhiana_Tehsil_3
PB-RDH-0026,road,point,"[[30.7195, 76.4362], [30.6032, 76.2996]]",348,paid,84.21,0.591,0.78,Punjab,PB,Fatehgarh Sahib,Fatehgarh Sahib_Tehsil_1
PB-IRR-0018,irrigation,point,"[[30.8061, 75.5716]]",377,paid,79.15,0.745,0.547,Punjab,PB,Ludhiana,Ludhiana_Tehsil_2
